LOCAL,DATA,VALOR
89,20231001 00:00:00,292
89,20231101 00:00:00,326
89,20231201 00:00:00,622
89,20240101 00:00:00,1018
89,20240301 00:00:00,144
89,20240401 00:00:00,168
89,20240501 00:00:00,252
89,20240601 00:00:00,532
89,20240801 00:00:00,129
89,20241001 00:00:00,172
89,20241101 00:00:00,185
88,20241201 00:00:00,690
88,20250101 00:00:00,425
88,20230501 00:00:00,484
88,20230601 00:00:00,240
88,20230701 00:00:00,469
88,20230901 00:00:00,626.09
88,20231001 00:00:00,257
88,20231101 00:00:00,435
88,20231201 00:00:00,144
88,20240101 00:00:00,416
88,20240201 00:00:00,460
88,20240301 00:00:00,180
88,20240401 00:00:00,244
88,20240501 00:00:00,467
88,20240601 00:00:00,302
88,20240701 00:00:00,170
88,20240801 00:00:00,578
88,20240901 00:00:00,465
88,20241001 00:00:00,245
88,20241101 00:00:00,264
88,20241201 00:00:00,0
88,20230901 00:00:00,490.65
87,20231001 00:00:00,290
87,20231101 00:00:00,280
87,20231201 00:00:00,352
87,20240101 00:00:00,232
87,20240201 00:00:00,420
87,20240301 00:00:00,581
87,20240401 00:00:00,441
87,20240501 00:00:00,563
87,20240601 00:00:00,80
87,20240701 00:00:00,356
87,20240801 00:00:00,472
87,20240901 00:00:00,347
87,20241001 00:00:00,377
87,20241201 00:00:00,798
87,20250101 00:00:00,279
87,20230301 00:00:00,280
86,20230401 00:00:00,86.66
85,20230501 00:00:00,601
85,20230601 00:00:00,95
85,20230701 00:00:00,249
85,20230801 00:00:00,144
85,20230901 00:00:00,632.97
